tweet_id,text,predicted_intent,escalation_decision,drafted_reply
315358,@SpotifyCares thanks guys!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
189940,@115888 I’m a student and wasn’t able to register it kept telling me I wasn’t,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1699012,@SpotifyCares Y'all fuckers should fix it k,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2914427,"@SpotifyCares Yeah, continually saying I'm offline, or just saying error whenever I try to load a page",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2588872,"@SpotifyCares Hi, it was actually on the webplayer...",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2121310,@SpotifyCares Fingers crossed! Thanks for the quick response!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2251414,"@SpotifyCares Had issues since iOS 11, currently running 11.1.1 with Spotify version 8.4.26.793. The bottom menu comes and goes randomly. 

Doesn’t always do it",Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
30606,@117153 @SpotifyCares Having issues w/playback and BT readout on phone since past two updates. HELP!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2114196,@84378 @115888 @115888 is steady fucking up. removing users fave features and fucking up the algorithms. dummmmb,General Inquiry,Escalate to Human,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2770906,@115888 when are you lunching spotify in Saudi Arabia,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2752841,How did that get past the development stage? @115888 https://t.co/sSAiPVZLK9,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1935350,@SpotifyCares me ayudan con mi cuenta de @115888 por favor,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
551294,Hello! @SpotifyCares sent a DM about 1 hour ago. When can we expect an answer? Many thanks! I have an anxious 7 year old waiting over here 😅,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1986665,"@115888 Can you help me cancel free trail of premium. Spotify ap says I am premium free trial, web page says I can sign up for free trial,",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1364984,"@SpotifyCares 8.4.23.784 version Spotify
Samsung Galaxy S6
Android v7.0",Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
376886,@SpotifyCares I've reinstalled. Soft reset.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
187557,@SpotifyCares reveal your identity 😫❤️,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1899540,"@SpotifyCares if I upgrade from premium to premium w/ family, am I only charged the difference in the two plans since I just recently paid?",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1998400,"Hey @SpotifyCares, when’s the iPhone X optimized update coming?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2595638,@SpotifyCares There we go! Thanks for the update 🎧,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1376194,@SpotifyCares do you guys still accept visa gift cards to pay premium I was using one with enough money and now it isn't working,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1270561,@115888 why are you playing 20 suggested songs in a row and why are they all fucking gorillaz every time this happens?,Playback/Skipping Issue,Escalate to Human,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
789476,"@115888 
PUT AGUST D BACK ON SPOTIFY!! 
YOU TOOK IT OFF FOR NO REASON!!!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
623001,@115888 Cant pay in any way possible,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2919325,@SpotifyCares literally have more problems with your app than any other app on my phone. At least once a week the whole thing crashes and I either need to close down the app or completely delete it and re-download it,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
293863,"@SpotifyCares Hey there, I'm having difficulties about my student subscription. I paid but not renewed. Can I get help?",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
184364,@SpotifyCares I see a new release tab ... this is not tailored for the user and is a ton of pop music I would never listen to,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
994605,@SpotifyCares No those options do not come up... device or sim.. and my sim is mounted and accessible to other apps??,Login/Account Access,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2218830,Why isn't _Reputation_ on @115888 yet?! This is negatively impacting my productivity. #SeriousScholar #TeamTayTay #LookWhatYouMadeMeDo,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2380900,@SpotifyCares I still do see it when I go to “edit profile”,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
364160,"@SpotifyCares @202311 You can see it says ""confirmation, about to join the family plan of...""",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2319370,@SpotifyCares Damn shame... that feels like a missed opportunity for a great #featurerequest !,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
171105,@115888 Is that like 9kr a month or all three months for 9kr? Need to know for research purposes.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2733028,@SpotifyCares I HAVE BEEN TRYING TO CANCEL MY SUBSCRIPTION FOR MONTHS UNABLE TO CONTACT YOU PLEASE CANCEL ACCT FOR ROBIN MEAD @766074  LAST FOUR # CC 5558 DO THIS IMMEDIATELY. THANK YOU ROBIN MEAD,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
583085,"@115888 @SpotifyCares If it doesn't exist, please may I ask for this to be developed asap? It'd make life so much easier than being given a global search result.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2182147,@118266 hallo kak saya ingin mengajukan kerja sama dengan spotify indonesia untuk menjadi sponsor di event kami. kalau boleh tau bisa menghubungi kemana ya untuk mengajukan proposal? terimakasih,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1902558,"@SpotifyCares recommendations like weekly discovery and daily mix are accurate, but announcements like “románticas en español” don’t",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1103019,"Dear @115888 

I want a “don’t ever fucking play this song/band/artist again” button. A blacklist. “Click here to add to blacklist.”",General Inquiry,Escalate to Human,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1486686,Feature Request: ability to switch to a new playlist after the current song (instead of stopping it and switching immediately) on @115888,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
1974390,"@115888 I signed up for a Premium account w/ Student discount, my cc was charged but my account still says free account. Help!",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
172452,"@SpotifyCares iPhone 7, OS 11.1.1",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1250432,@115888 have y’all ever thought about checking people to see if they’re still in school for the $4.99 discount?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
974523,@SpotifyCares My concern is I won't know a song is censored until a minute into the song when a word is *bleeped* or muted and I have to go search again😞,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1966719,@SpotifyCares Anything??? x,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2921970,"@SpotifyCares Nothing is really “happening,” I just don’t feel like it’s a well-designed tablet app. It’s just a big phone app. The desktop interface would fit the iPad Pro much better.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1961793,"@SpotifyCares I bought Premium on my account.
On my account settings it says i’ve Premium but it says in have the Free version (iOS/Mac app)",Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
2981104,@SpotifyCares spotify 8.4.28 ios 11.1,Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
2422812,@SpotifyCares @676265 when will it be available?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2363312,Why isn’t @10932 #NRACountry on @115888?!? #Spotify,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2516187,So @SpotifyCares why does Spotify stop skipping songs at some point even tho I'm a premium memeber? I thought I had unlimited skips? And do not ask for my account info(like every other time) you do not need it for this issue it's your system messing up I'm up2date just fix it pls,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
288532,@SpotifyCares representation for your brand as well,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1527847,@115888 what’s up with the bottom tabs being covered? Can’t navigate. iOS 11.1 https://t.co/6UPqyMviJy,Device Compatibility,Auto-handle,Hi! What device and operating system are you using? Drop us the details so our team can check this out for you. /CP
1841080,@115888 are you going to get an Apple Watch app?  Only reason I don’t have your service.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2293440,@SpotifyCares hi I've messaged you please help!!!!,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2790780,"@SpotifyCares you seem to have some issues with parts of your spotifycom domain. Getting frequent 504, 502, and 501",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
